Alpha,Tau,Beta_fit,Beta_pred,DCC,Beta_shape_collapse,SC_Error
2.795,1.878,0.810018875,2.04441913439636,1.23440025939636,1.28,0.469981125
1.733,2.087,1.800970192,0.674333026678933,1.12663716532107,1.302,0.498970192
1.667,2.191,1.877068878,0.560033585222502,1.3170352927775,1.336,0.541068878
2.337,2.059,1.470891242,1.26251180358829,0.208379438411709,1.323,0.147891242
2.329,1.357,1.441627519,3.72268907563025,2.28106155663025,0.809,0.632627519
1.668,1.973,1.833145353,0.686536485097636,1.14660886790236,1.06,0.773145353
1.7,1.679,1.667147212,1.03092783505155,0.636219376948454,0.847,0.820147212
1.094,1.045,1.689324706,2.08888888888889,0.399564182888894,1.645,0.044324706
1.256,1.006,1.758571978,42.6666666666666,40.9080946886666,1.533,0.225571978
1.455,1.57,1.855671459,0.798245614035088,1.05742584496491,1.506,0.349671459
1.434,1.521,1.865811598,0.833013435700576,1.03279816229942,1.51,0.355811598
1.95,1.541,1.586812591,1.75600739371534,0.169194802715342,1.327,0.259812591
0.467,2.08,1.518581814,-0.493518518518518,2.01210033251852,1.364,0.154581814
2.299,1.922,1.599061602,1.40889370932755,0.190167892672451,1.346,0.253061602
1.666,1.619,1.769619336,1.07592891760905,0.693690418390953,0.995,0.774619336
